key,es,en,ca,pt,de,gl,eu
results.descPass,"En tu viaje por <strong>{plataforma}</strong> prefieres contratar el paquete de ""todo incluido"" de la agencia turística algorítmica. Confías plenamente en el itinerario preestablecido, dejándote llevar por las rutas más comerciales y visitando cómodamente los lugares que la plataforma organiza para ti, sin salir de la ruta marcada.","On your journey through <strong>{plataforma}</strong> you prefer to book the ""all-inclusive"" package from the algorithmic travel agency. You fully trust the preset itinerary, letting yourself be carried along the most commercial routes and comfortably visiting the places the platform organizes for you, without leaving the marked path.","En el teu viatge per <strong>{plataforma}</strong> prefereixes contractar el paquet de ""tot inclòs"" de l'agència turística algorítmica. Confies plenament en l'itinerari preestablert, deixant-te portar per les rutes més comercials i visitant còmodament els llocs que la plataforma organitza per a tu, sense sortir de la ruta marcada.","Na sua viagem por <strong>{plataforma}</strong> prefere contratar o pacote de ""tudo incluído"" da agência turística algorítmica. Confia plenamente no itinerário preestabelecido, deixando-se levar pelas rotas mais comerciais e visitando confortavelmente os lugares que a plataforma organiza para si, sem sair da rota marcada.","Auf deiner Reise durch <strong>{plataforma}</strong> buchst du am liebsten das ""All-inclusive""-Paket des algorithmischen Reisebüros. Du vertraust voll und ganz auf den vorgegebenen Reiseplan, lässt dich auf den kommerziellsten Routen treiben und besuchst bequem die Orte, die die Plattform für dich organisiert, ohne den markierten Weg zu verlassen.","Na túa viaxe por <strong>{plataforma}</strong> prefires contratar o paquete de ""todo incluído"" da axencia turística algorítmica. Confías plenamente no itinerario preestablecido, deixándote levar polas rutas máis comerciais e visitando comodamente os lugares que a plataforma organiza para ti, sen saír da ruta marcada.","<strong>{plataforma}</strong> bidezko zure bidaian, nahiago duzu agentzia turistiko algoritmikoaren ""guztia barne"" paketea kontratatu. Diseinatutako ibilbidean konfiantza osoa duzu, ibilbide komertzialenek eraman zaitzaten utziz eta plataformak zurezat antolatzen dituen lekuak eroso bisitatuz, markatutako bidetik irten gabe."
results.descNav,"Tu paso por <strong>{plataforma}</strong> es como unirte a un ""free tour"" con una buena guía de viaje en el bolsillo. Aprovechas los circuitos organizados que te ofrece el sistema, pero a veces decides desviarte por una callejuela que te llama la atención, preguntas a la gente local y mantienes un equilibrio entre la ruta turística y tu propia curiosidad.","Your time in <strong>{plataforma}</strong> is like joining a ""free tour"" with a good travel guide in your pocket. You take advantage of the organized circuits the system offers, but sometimes you decide to detour down an alley that catches your eye, ask locals, and keep a balance between the tourist route and your own curiosity.","El teu pas per <strong>{plataforma}</strong> és com unir-te a un ""free tour"" amb una bona guia de viatge a la butxaca. Aprofites els circuits organitzats que t'ofereix el sistema, però a vegades decideixes desviar-te per un carreró que et crida l'atenció, preguntes a la gent local i mantens un equilibri entre la ruta turística i la teva pròpia curiositat.","A sua passagem por <strong>{plataforma}</strong> é como juntar-se a um ""free tour"" com um bom guia de viagem no bolso. Aproveita os circuitos organizados que o sistema oferece, mas por vezes decide desviar-se por uma ruela que lhe chama a atenção, pergunta às pessoas locais e mantém um equilíbrio entre a rota turística e a sua própria curiosidade.","Deine Zeit auf <strong>{plataforma}</strong> ist wie die Teilnahme an einer ""Free Tour"" mit einem guten Reiseführer in der Tasche. Du nutzt die vom System angebotenen organisierten Touren, entscheidest dich aber manchmal für einen Abstecher in eine Gasse, die deine Aufmerksamkeit erregt, fragst Einheimische und hältst ein Gleichgewicht zwischen der touristischen Route und deiner eigenen Neugier.","O teu paso por <strong>{plataforma}</strong> é como unirte a un ""free tour"" cunha boa guía de viaxe no peto. Aproveitas os circuítos organizados que che ofrece o sistema, pero ás veces decides desviarche por un canellón que che chama a atención, preguntas á xente local e mantés un equilibrio entre a ruta turística e a túa propia curiosidade.","Zure pasoa <strong>{plataforma}</strong> bidez bidaia-gida on bat poltsikoan duzula ""free tour"" batean parte hartzea bezalakoa da. Sistemak eskaintzen dizkizun zirkuitu antolatuez baliatzen zara, baina batzuetan arreta ematen dizun kalezulo batetik desbideratzea erabakitzen duzu, bertakoei galdetzen diezu eta ibilbide turistikoaren eta zure jakin-minaren arteko oreka mantentzen duzu."
results.descSob,"¡Tu espíritu es totalmente libre y amante de la aventura! En <strong>{plataforma}</strong> huyes de los viajes masificados y te mueves ""por libre"", trazando tu propio mapa. Buscas joyas ocultas fuera del circuito comercial, cuestionas siempre el folleto turístico que te intentan vender y, si el paisaje no te convence, haces las maletas hacia nuevos horizontes.","Your spirit is completely free and adventure-loving! In <strong>{plataforma}</strong> you flee from mass tourism and move ""on your own"", charting your own map. You look for hidden gems outside the commercial circuit, always question the tourist brochure they try to sell you, and, if the landscape doesn't convince you, you pack your bags for new horizons.","El teu esperit és totalment lliure i amant de l'aventura! A <strong>{plataforma}</strong> fuges dels viatges massificats i et mous ""per lliure"", traçant el teu propi mapa. Busques joies ocultes fora del circuit comercial, qüestiones sempre el fulletó turístic que t'intenten vendre i, si el paisatge no et convenç, fas les maletes cap a nous horitzons.","O seu espírito é totalmente livre e adora aventuras! Em <strong>{plataforma}</strong> foge das viagens massificadas e move-se de forma ""independente"", traçando o seu próprio mapa. Procura joias ocultas fora do circuito comercial, questiona sempre o folheto turístico que lhe tentam vender e, se a paisagem não convencer, faz as malas rumo a novos horizontes.","Dein Geist ist völlig frei und abenteuerlustig! Auf <strong>{plataforma}</strong> fliehst du vor Massenreisen und bist ""auf eigene Faust"" unterwegs, wobei du deine eigene Karte zeichnest. Du suchst nach versteckten Juwelen abseits der kommerziellen Routen, hinterfragst immer die Touristenbroschüre, die man dir verkaufen will, und wenn dich die Landschaft nicht überzeugt, packst du deine Koffer und machst dich auf zu neuen Horizonten.","O teu espírito é totalmente libre e amante da aventura! En <strong>{plataforma}</strong> foxes das viaxes masificadas e móveste ""por libre"", trazando o teu propio mapa. Buscas xoias ocultas fóra do circuíto comercial, cuestionas sempre o folleto turístico que che tentan vender e, se a paisaxe non che convence, fas as maletas cara a novos horizontes.","Zure espiritua guztiz librea da eta abenturazalea! <strong>{plataforma}</strong> plataforman, bidaia jendetsuetatik ihes egiten duzu eta ""zure kontura"" mugitzen zara, zure mapa propioa zehaztuz. Zirkuitu komertzialetik kanpoko altxor ezkutuak bilatzen dituzu, saldu nahi dizuten bidaia-liburuxka zalantzan jartzen duzu beti, eta paisaiak konbentzitzen ez bazaitu, maletak egiten dituzu zeruertz berrietarantz."
results.labels.0.t,"Sumisión algorítmica","Algorithmic submission","Submissió algorítmica","Submissão algorítmica","Algorithmische Unterwerfung","Submisión algorítmica","Mendekotasun algoritmikoa"
results.labels.0.s,"Viaje ""todo incluido""","""All-inclusive"" trip","Viatge ""tot inclòs""","Viagem ""tudo incluído""","""All-inclusive""-Reise","Viaxe ""todo incluído""","""Guztia barne"" bidaia"
results.labels.0.th,"Sometimiento","Submission","Sotmetiment","Submissão","Unterwerfung","Sometemento","Mendekotasuna"
results.labels.0.tt,"Aceptación acrítica de las recomendaciones automatizadas, delegando por completo la selección de contenidos al sistema en un estado de pasividad operativa.","Uncritical acceptance of automated recommendations, completely delegating content selection to the system in a state of operational passivity.","Acceptació acrítica de les recomanacions automatitzades, delegant per complet la selecció de continguts al sistema en un estat de passivitat operativa.","Aceitação acrítica das recomendações automatizadas, delegando por completo a seleção de conteúdos ao sistema num estado de passividade operativa.","Unkritische Akzeptanz automatisierter Empfehlungen, wobei die Inhaltsauswahl in einem Zustand operativer Passivität vollständig an das System delegiert wird.","Aceptación acrítica das recomendacións automatizadas, delegando por completo a selección de contidos ao sistema nun estado de pasividade operativa.","Gomendio automatizatuen onarpen akritikoa, edukien hautaketa sistemaren esku utziz erabat, pasibotasun operatiboan."
results.labels.1.t,"Aceptación selectiva","Selective acceptance","Acceptació selectiva","Aceitação seletiva","Selektive Akzeptanz","Aceptación selectiva","Onarpen selektiboa"
results.labels.1.s,"Excursiones de agencia","Agency excursions","Excursions d'agència","Excursões da agência","Ausflüge der Agentur","Excursións de axencia","Agentzia-irteerak"
results.labels.1.th,"Interacción","Interaction","Interacció","Interação","Interaktion","Interacción","Elkarrekintza"
results.labels.1.tt,"Interacción superficial que acepta las sugerencias del sistema, aplicando filtros mínimos para adaptar levemente el modelo algorítmico al perfil.","Superficial interaction that accepts system suggestions, applying minimal filters to slightly adapt the algorithmic model to the profile.","Interacció superficial que accepta els suggeriments del sistema, aplicant filtres mínims per adaptar lleument el model algorítmic al perfil.","Interação superficial que aceita as sugestões do sistema, aplicando filtros mínimos para adaptar levemente o modelo algorítmico ao perfil.","Oberflächliche Interaktion, die die Vorschläge des Systems akzeptiert, wobei minimale Filter angewendet werden, um das algorithmische Modell leicht an das Profil anzupassen.","Interacción superficial que acepta as suxestións do sistema, aplicando filtros mínimos para adaptar levemente o modelo algorítmico ao perfil.","Sistemaren iradokizunak onartzen dituen azaleko elkarrekintza, profilari algoritmo-eredua apur bat moldatzeko gutxieneko iragazkiak ezarriz."
results.labels.2.t,"Exploración guiada","Guided exploration","Exploració guiada","Exploração guiada","Geleitete Erkundung","Exploración guiada","Esplorazio gidatua"
results.labels.2.s,"Viaje con guía","Guided tour","Viatge amb guia","Viagem com guia","Reise mit Führer","Viaxe con guía","Gidatutako bidaia"
results.labels.2.th,"Resistencia","Resistance","Resistència","Resistência","Widerstand","Resistencia","Erresistentzia"
results.labels.2.tt,"Uso instrumental de las herramientas nativas de la plataforma para dirigir activamente las recomendaciones y negociar los resultados del algoritmo.","Instrumental use of native platform tools to actively direct recommendations and negotiate the algorithm's results.","Ús instrumental de les eines natives de la plataforma per dirigir activament les recomanacions i negociar els resultats de l'algorisme.","Uso instrumental das ferramentas nativas da plataforma para dirigir ativamente as recomendações e negociar os resultados do algoritmo.","Instrumentelle Nutzung nativer Plattformwerkzeuge, um Empfehlungen aktiv zu lenken und die Ergebnisse des Algorithmus zu verhandeln.","Uso instrumental das ferramentas nativas da plataforma para dirixir activamente as recomendacións e negociar os resultados do algoritmo.","Plataformako berezko tresnen erabilera instrumentala gomendioak aktiboki bideratzeko eta algoritmoaren emaitzak negoziatzeko."
results.labels.3.t,"Contraste externo","External contrast","Contrast extern","Contraste externo","Externer Kontrast","Contraste externo","Kanpoko kontrastea"
results.labels.3.s,"Consulta de mapas","Map checking","Consulta de mapes","Consulta de mapas","Karten konsultieren","Consulta de mapas","Mapen kontsulta"
results.labels.3.th,"Evasión","Evasion","Evasió","Evasão","Ausweichen","Evasión","Ihesbidea"
results.labels.3.tt,"Comprobación de la validez de las recomendaciones mediante la consulta activa de fuentes de información y referencias ajenas al ecosistema cerrado.","Verifying the validity of recommendations by actively consulting information sources and references outside the closed ecosystem.","Comprovació de la validesa de les recomanacions mitjançant la consulta activa de fonts d'informació i referències alienes a l'ecosistema tancat.","Verificação da validade das recomendações mediante a consulta ativa de fontes de informação e referências alheias ao ecossistema fechado.","Überprüfung der Gültigkeit von Empfehlungen durch aktive Konsultation von Informationsquellen und Referenzen außerhalb des geschlossenen Ökosystems.","Comprobación da validez das recomendacións mediante a consulta activa de fontes de información e referencias alleas ao ecosistema pechado.","Gomendioen baliozkotasuna egiaztatzea, ekosistema itxitik kanpoko informazio-iturriak eta erreferentziak aktiboki kontsultatuz."
results.labels.4.t,"Valoración crítica","Critical assessment","Valoració crítica","Valorização crítica","Kritische Bewertung","Valoración crítica","Balorazio kritikoa"
results.labels.4.s,"Mirada fuera de ruta","Off-route view","Mirada fora de ruta","Olhar fora da rota","Blick abseits der Route","Mirada fóra de ruta","Ibilbidetik kanpoko begirada"
results.labels.4.th,"Negociación","Negotiation","Negociació","Negociação","Verhandlung","Negociación","Negoziaketa"
results.labels.4.tt,"Reflexión analítica sobre los sesgos comerciales, ideológicos o de diseño de los sistemas de recomendación, evaluando críticamente el entorno.","Analytical reflection on the commercial, ideological, or design biases of recommendation systems, critically evaluating the environment.","Reflexió analítica sobre els biaixos comercials, ideològics o de disseny dels sistemes de recomanació, avaluant críticament l'entorn.","Reflexão analítica sobre os enviesamentos comerciais, ideológicos ou de design dos sistemas de recomendação, avaliando criticamente o ambiente.","Analytische Reflexion über die kommerziellen, ideologischen oder gestalterischen Verzerrungen von Empfehlungssystemen, wobei die Umgebung kritisch bewertet wird.","Reflexión analítica sobre os rumbos comerciais, ideolóxicos ou de deseño dos sistemas de recomendación, avaliando criticamente a contorna.","Gomendio-sistemen muga komertzial, ideologiko edo diseinu-mugen inguruko hausnarketa analitikoa, ingurunea modu kritikoan ebaluatuz."
results.labels.5.t,"Elección autónoma","Autonomous choice","Elecció autònoma","Escolha autónoma","Autonome Wahl","Elección autónoma","Hautapen autonomoa"
results.labels.5.s,"Aventura por libre","Independent adventure","Aventura per lliure","Aventura independente","Abenteuer auf eigene Faust","Aventura por libre","Abentura librean"
results.labels.5.th,"Elección consciente","Conscious choice","Elecció conscient","Escolha consciente","Bewusste Wahl","Elección consciente","Hautapen kontzientea"
results.labels.5.tt,"Ejercicio pleno de la agencia, caracterizado por la evasión de la curaduría automatizada y la búsqueda independiente de contenidos culturales.","Full exercise of agency, characterized by evasion of automated curation and the independent search for cultural content.","Exercici ple de l'agència, caracteritzat per l'evasió de la curadoria automatitzada i la recerca independent de continguts culturals.","Exercício pleno da agência, caracterizado pela evasão da curadoria automatizada e pela busca independente de conteúdos culturais.","Volle Ausübung der eigenen Handlungsmacht, gekennzeichnet durch die Vermeidung automatisierter Kuration und die unabhängige Suche nach kulturellen Inhalten.","Exercicio pleno da axencia, caracterizado pola evasión da curadoría automatizada e a busca independente de contidos culturais.","Agentziaren erabilera osoa, kurazio automatizatuari ihes egitea eta eduki kulturalen bilaketa independentea ezaugarri dituena."
results.tips.0.t,"Siguiente destino: Excursiones personalizadas","Next destination: Customized excursions","Següent destí: Excursions personalitzades","Próximo destino: Excursões personalizadas","Nächstes Ziel: Maßgeschneiderte Ausflüge","Seguinte destino: Excursións personalizadas","Hurrengo helmuga: Irteera pertsonalizatuak"
results.tips.0.p1,"Has disfrutado del viaje con todo incluido, pero es hora de empezar a elegir tus propias rutas.","You've enjoyed the all-inclusive trip, but it's time to start choosing your own routes.","Has gaudit del viatge amb tot inclòs, però és hora de començar a triar les teves pròpies rutes.","Desfrutou da viagem com tudo incluído, mas é hora de começar a escolher as suas próprias rotas.","Du hast die All-inclusive-Reise genossen, aber es ist Zeit, deine eigenen Routen zu wählen.","Gozaches da viaxe con todo incluído, pero é hora de comezar a elixir as túas propias rutas.","Gozatu duzu guztia barne bidaiarekin, baina bada garaia zure ibilbideak aukeratzen hasteko."
results.tips.0.p2,"<strong>💡 El consejo de la expedición:</strong> Usa los botones de 'Me gusta' o 'No me interesa' activamente. Obliga a la agencia turística algorítmica a escuchar tus preferencias en lugar de aceptar pasivamente su menú del día.","<strong>💡 Expedition tip:</strong> Actively use the 'Like' or 'Not interested' buttons. Force the algorithmic travel agency to listen to your preferences instead of passively accepting their daily menu.","<strong>💡 El consell de l'expedició:</strong> Utilitza els botons de 'M'agrada' o 'No m'interessa' activament. Obliga a l'agència turística algorítmica a escoltar les teves preferències en lloc d'acceptar passivament el seu menú del dia.","<strong>💡 A dica da expedição:</strong> Utilize ativamente os botões de 'Gosto' ou 'Não me interessa'. Obrigue a agência turística algorítmica a ouvir as suas preferências em vez de aceitar passivamente o seu menu do dia.","<strong>💡 Expeditionstipp:</strong> Nutze aktiv die 'Gefällt mir'- oder 'Kein Interesse'-Buttons. Zwinge das algorithmische Reisebüro, auf deine Vorlieben zu hören, anstatt passiv dessen Tagesmenü zu akzeptieren.","<strong>💡 O consello da expedición:</strong> Usa os botóns de 'Gústame' ou 'Non me interesa' activamente. Obriga á axencia turística algorítmica a escoitar as túas preferencias en lugar de aceptar pasivamente o seu menú do día.","<strong>💡 Espedizioko aholkua:</strong> Erabili 'Atsegin dut' edo 'Ez zait interesatzen' botoiak aktiboki. Behartu bidaia-agentzia algoritmikoa zure lehentasunak entzuten, haien eguneroko menua pasiboki onartu beharrean."
results.tips.1.t,"Siguiente destino: Tomar el timón","Next destination: Taking the helm","Següent destí: Agafar el timó","Próximo destino: Assumir o leme","Nächstes Ziel: Das Steuer übernehmen","Seguinte destino: Tomar o temón","Hurrengo helmuga: Lemari heltzea"
results.tips.1.p1,"Ya filtras lo que no te gusta, ¡es un gran paso! Ahora te toca tomar la iniciativa.","You already filter what you don't like, that's a big step! Now it's your turn to take the initiative.","Ja filtres el que no t'agrada, és un gran pas! Ara et toca prendre la iniciativa.","Já filtra o que não gosta, é um grande passo! Agora é a sua vez de tomar a iniciativa.","Du filterst bereits heraus, was dir nicht gefällt – ein großer Schritt! Jetzt bist du an der Reihe, die Initiative zu ergreifen.","Xa filtras o que non che gusta, é un gran paso! Agora tócache tomar a iniciativa.","Dagoeneko iragazten duzu gustatzen ez zaizuna, urrats handia da! Orain ekimena hartzea dagokizu."
results.tips.1.p2,"<strong>💡 El consejo de la expedición:</strong> En lugar de esperar a que la pantalla te ofrezca contenido, usa el buscador. Busca activamente creadores, géneros o temáticas concretas. Conviértete en la persona que guía la expedición.","<strong>💡 Expedition tip:</strong> Instead of waiting for the screen to offer you content, use the search bar. Actively look for creators, genres, or specific topics. Become the person guiding the expedition.","<strong>💡 El consell de l'expedició:</strong> En lloc d'esperar que la pantalla t'ofereixi contingut, utilitza el cercador. Busca activament creadores, gèneres o temàtiques concretes. Converteix-te en la persona que guia l'expedició.","<strong>💡 A dica da expedição:</strong> Em vez de esperar que o ecrã lhe ofereça conteúdo, use o motor de busca. Procure ativamente criadores, géneros ou temas específicos. Torne-se a pessoa que guia a expedição.","<strong>💡 Expeditionstipp:</strong> Anstatt darauf zu warten, dass der Bildschirm dir Inhalte anbietet, nutze die Suchfunktion. Suche aktiv nach Creatorn, Genres oder bestimmten Themen. Werde die Person, die die Expedition leitet.","<strong>💡 O consello da expedición:</strong> En lugar de esperar a que a pantalla che ofreza contido, usa o buscador. Busca activamente creadores, xéneros ou temáticas concretas. Convértete na persoa que guía a expedición.","<strong>💡 Espedizioko aholkua:</strong> Pantailak edukiak eskaintzeko zain egon beharrean, erabili bilatzailea. Bilatu aktiboki sortzaileak, xedeak edo gai zehatzak. Bihurtu zaitez espedizioa gidatzen duen pertsona."
results.tips.2.t,"Siguiente destino: Contrastar los mapas","Next destination: Cross-checking maps","Següent destí: Contrastar els mapes","Próximo destino: Contrastar os mapas","Nächstes Ziel: Karten vergleichen","Seguinte destino: Contrastar os mapas","Hurrengo helmuga: Mapak alderatzea"
results.tips.2.p1,"Sabes moverte por la plataforma y guiar tu ruta, pero a veces los mapas oficiales ocultan información.","You know how to navigate the platform and guide your route, but sometimes official maps hide information.","Saps moure't per la plataforma i guiar la teva ruta, però a vegades els mapes oficials oculten informació.","Sabe navegar pela plataforma e guiar a sua rota, mas por vezes os mapas oficiais ocultam informações.","Du weißt, wie du dich auf der Plattform bewegst, aber manchmal verbergen offizielle Karten Informationen.","Sabes moverte pola plataforma e guiar a túa ruta, pero ás veces os mapas oficiais ocultan información.","Badakizu plataforman mugitzen eta zure bidea bideratzen, baina batzuetan mapa ofizialek informazioa ezkutatzen dute."
results.tips.2.p2,"<strong>💡 El consejo de la expedición:</strong> Cuando la plataforma te recomiende algo con mucha insistencia, sal de la aplicación y busca opiniones en webs externas, foros o comunidades. No te quedes solo con la versión oficial de la agencia.","<strong>💡 Expedition tip:</strong> When the platform strongly recommends something, exit the app and look for opinions on external websites, forums, or communities. Don't rely solely on the agency's official version.","<strong>💡 El consell de l'expedició:</strong> Quan la plataforma et recomani una cosa amb molta insistència, surt de l'aplicació i busca opinions a webs externes, fòrums o comunitats. No et quedis només amb la versió oficial de l'agència.","<strong>💡 A dica da expedição:</strong> Quando a plataforma lhe recomendar algo com muita insistência, saia da aplicação e procure opiniões em sites externos, fóruns ou comunidades. Não fique apenas com a versão oficial da agência.","<strong>💡 Expeditionstipp:</strong> Wenn dir die Plattform etwas sehr nachdrücklich empfiehlt, verlasse die App und suche nach Meinungen auf externen Websites, in Foren oder Communities. Verlasse dich nicht nur auf die offizielle Version der Agentur.","<strong>💡 O consello da expedición:</strong> Cando a plataforma che recomende algo con moita insistencia, sal da aplicación e busca opinións en webs externas, foros ou comunidades. Non queden só coa versión oficial da axencia.","<strong>💡 Espedizioko aholkua:</strong> Plataformak zerbait oso gogor gomendatzen dizunean, irten aplikaziotik eta bilatu iritziak kanpoko webguneetan, foroetan edo komunitateetan. Ez fidatu soilik agentziaren bertsio ofizialarekin."
results.tips.3.t,"Siguiente destino: Cuestionar a la agencia","Next destination: Questioning the agency","Següent destí: Qüestionar l'agència","Próximo destino: Questionar a agência","Nächstes Ziel: Die Agentur hinterfragen","Seguinte destino: Cuestionar a axencia","Hurrengo helmuga: Agentzia zalantzan jartzea"
results.tips.3.p1,"Ya contrastas la información fuera, ahora toca afilar tu mirada crítica hacia quien organiza el viaje.","You already contrast information outside, now it's time to sharpen your critical gaze towards whoever organizes the trip.","Ja contrastes la informació fora, ara toca afilar la teva mirada crítica cap a qui organitza el viatge.","Já contrasta a informação fora, agora é hora de afiar o seu olhar crítico em relação a quem organiza a viagem.","Du vergleichst Informationen bereits extern, jetzt ist es an der Zeit, deinen kritischen Blick auf die Organisatoren der Reise zu schärfen.","Xa contrastas a información fóra, agora toca afiar a túa mirada crítica cara a quen organiza a viaxe.","Dagoeneko kanpoko informazioa alderatzen duzu, orain bidaia antolatzen duenarekiko begirada kritikoa zorrozteko unea da."
results.tips.3.p2,"<strong>💡 El consejo de la expedición:</strong> Pregúntate siempre <strong>por qué</strong> te recomiendan algo. ¿Es una campaña pagada? ¿Es contenido diseñado para retenerte horas en la pantalla? Reconocer los intereses comerciales detrás de la recomendación te hará imparable.","<strong>💡 Expedition tip:</strong> Always ask yourself <strong>why</strong> they recommend something to you. Is it a paid campaign? Is it content designed to keep you on the screen for hours? Recognizing the commercial interests behind the recommendation will make you unstoppable.","<strong>💡 El consell de l'expedició:</strong> Pregunta't sempre <strong>per què</strong> et recomanen una cosa. És una campanya pagada? És contingut dissenyat per retenir-te hores a la pantalla? Reconèixer els interessos comercials darrere de la recomanació et farà imparable.","<strong>💡 A dica da expedição:</strong> Pergunte-se sempre <strong>por que</strong> motivo lhe recomendam algo. É uma campanha paga? É conteúdo desenhado para reter a sua atenção por horas? Reconhecer os interesses comerciais por trás da recomendação tornar-lhe-á imparável.","<strong>💡 Expeditionstipp:</strong> Frage dich immer, <strong>warum</strong> man dir etwas empfiehlt. Ist es eine bezahlte Kampagne? Sollen dich die Inhalte stundenlang an den Bildschirm fesseln? Die kommerziellen Interessen hinter Empfehlungen zu erkennen, macht dich unaufhaltsam.","<strong>💡 O consello da expedición:</strong> Pregúntate sempre <strong>por que</strong> che recomendan algo. É unha campaña pagada? É contido deseñado para reterche horas na pantalla? Recoñecer os intereses comerciais detrás da recomendación farache imparable.","<strong>💡 Espedizioko aholkua:</strong> Galdetu zure buruari beti <strong>zergatik</strong> gomendatzen dizuten zerbait. Ordaindutako kanpaina bat al da? Pantailan orduak egoteko diseinatutako edukia al da? Gomendioaren atzean dauden interes komertzialak ezagutzeak geldiezin bihurtuko zaitu."
results.tips.4.t,"Siguiente destino: La aventura total","Next destination: Total adventure","Següent destí: L'aventura total","Próximo destino: A aventura total","Nächstes Ziel: Das totale Abenteuer","Seguinte destino: A aventura total","Hurrengo helmuga: Abentura osoa"
results.tips.4.p1,"Tienes una gran capacidad crítica. El último paso es la independencia total.","You have great critical capacity. The last step is total independence.","Tens una gran capacitat crítica. L'últim pas és la independència total.","Tem uma grande capacidade crítica. O último passo é a independência total.","Du hast eine große kritische Fähigkeit. Der letzte Schritt ist die völlige Unabhängigkeit.","Tes unha gran capacidade crítica. O último paso é a independencia total.","Gaitasun kritiko handia duzu. Azken urratsa independentzia osoa da."
results.tips.4.p2,"<strong>💡 El consejo de la expedición:</strong> Dedica tiempo a descubrir cultura e información completamente fuera de las grandes plataformas comerciales. Apoya espacios independientes, fanzines, blogs o catálogos alternativos. ¡Crea tus propias rutas inexploradas!","<strong>💡 Expedition tip:</strong> Spend time discovering culture and information completely outside of large commercial platforms. Support independent spaces, fanzines, blogs, or alternative catalogs. Create your own unexplored routes!","<strong>💡 El consell de l'expedició:</strong> Dedica temps a descobrir cultura i informació completament fora de les grans plataformes comercials. Dona suport a espais independents, fanzins, blocs o catàlegs alternatius. Crea les teves pròpies rutes inexplorades!","<strong>💡 A dica da expedição:</strong> Dedique tempo a descobrir cultura e informação completamente fora das grandes plataformas comerciais. Apoie espaços independentes, fanzines, blogues ou catálogos alternativos. Crie as suas próprias rotas inexploradas!","<strong>💡 Expeditionstipp:</strong> Nimm dir Zeit, Kultur und Informationen komplett abseits der großen kommerziellen Plattformen zu entdecken. Unterstütze unabhängige Räume, Fanzines, Blogs oder alternative Kataloge. Erschaffe deine eigenen unerforschten Routen!","<strong>💡 O consello da expedición:</strong> Dedica tempo a descubrir cultura e información completamente fóra das grandes plataformas comerciais. Apoia espazos independentes, fanzines, blogs ou catálogos alternativos. Crea as túas propias rutas inexploradas!","<strong>💡 Espedizioko aholkua:</strong> Eman denbora plataforma komertzial handietatik kanpo kultura eta informazioa ezagutzeko. Babestu espazio independenteak, fanzineak, blogak edo katalogo alternatiboak. Sortu zure esploratu gabeko ibilbideak!"
results.tips.5.t,"¡Eres soberanía pura!","You are pure sovereignty!","Ets sobirania pura!","É pura soberania!","Du bist reine Souveränität!","Es soberanía pura!","Subiranotasun hutsa zara!"
results.tips.5.p1,"Has alcanzado el nivel máximo de agencia en esta expedición.","You have reached the maximum level of agency in this expedition.","Has assolit el nivell màxim d'agència en aquesta expedició.","Alcançou o nível máximo de agência nesta expedição.","Du hast auf dieser Expedition die höchste Stufe der Autonomie erreicht.","Alcanzaches o nivel máximo de axencia nesta expedición.","Espedizio honetan agentzia-maila gorenera iritsi zara."
results.tips.5.p2,"<strong>💡 El consejo de la expedición:</strong> Sigue manteniendo esta gran autonomía y comparte tus descubrimientos (tus 'mapas secretos') con tu comunidad. Ayuda a otras personas a salir de sus propias rutas comerciales y enséñales a explorar con libertad.","<strong>💡 Expedition tip:</strong> Keep maintaining this great autonomy and share your discoveries (your 'secret maps') with your community. Help other people step out of their own commercial routes and teach them to explore freely.","<strong>💡 El consell de l'expedició:</strong> Continua mantenint aquesta gran autonomia i comparteix els teus descobriments (els teus 'mapes secrets') amb la teva comunitat. Ajuda altres persones a sortir de les seves pròpies rutes comercials i ensenya'ls a explorar amb llibertat.","<strong>💡 A dica da expedição:</strong> Continue a manter esta grande autonomia e partilhe as suas descobertas (os seus 'mapas secretos') com a sua comunidade. Ajude outras pessoas a sair das suas próprias rotas comerciais e ensine-as a explorar com liberdade.","<strong>💡 Expeditionstipp:</strong> Erhalte dir diese große Autonomie und teile deine Entdeckungen (deine 'geheimen Karten') mit deiner Community. Hilf anderen, ihre eigenen kommerziellen Routen zu verlassen, und zeige ihnen, wie man frei auf Entdeckungsreise geht.","<strong>💡 O consello da expedición:</strong> Segue mantendo esta gran autonomía e comparte os teus descubrimentos (os teus 'mapas secretos') coa túa comunidade. Axuda a outras persoas a saír das súas propias rutas comerciais e ensínalle a explorar con liberdade.","<strong>💡 Espedizioko aholkua:</strong> Jarraitu autonomia handi horri eusten eta partekatu zure aurkikuntzak (zure 'mapa sekretuak') zure komunitatearekin. Lagundu beste pertsona batzuei beren ibilbide komertzialetatik irten eta erakutsi iezaiezu modu librean esploratzen."
socialQuestions.0.text,"Al abrir {plataforma} sin un objetivo claro, ¿qué sueles hacer?","When opening {plataforma} without a clear goal, what do you usually do?","A l'obrir {plataforma} sense un objectiu clar, què sols fer?","Ao abrir o {plataforma} sem um objetivo claro, o que costuma fazer?","Wenn du {plataforma} ohne ein klares Ziel öffnest, was tust du normalerweise?","Ao abrir {plataforma} sen un obxectivo claro, que adoitas facer?","Helburu argirik gabe {plataforma} irekitzean, zer egin ohi duzu?"
